ticker,name,industry,shares,cost_price,cost_value,weight_target,score
601186,中国铁建,建筑,4300,7.67,32981.0,0.0333,0.8862
000001,深发展A,银行,2900,11.41,33089.0,0.0333,0.8243
601800,中国交建,建筑,4100,8.12,33292.0,0.0333,0.8241
601668,中国建筑,建筑,6400,5.13,32832.0,0.0333,0.822
600018,上港集团,交运,6200,5.37,33294.0,0.0333,0.7907
600023,浙能电力,电力,6700,4.95,33165.0,0.0333,0.7907
601169,北京银行,银行,6000,5.48,32880.0,0.0333,0.7888
002142,宁波银行,银行,1100,28.09,30899.0,0.0333,0.7842
600585,海螺水泥,建材,1500,21.86,32790.0,0.0333,0.782
601919,中国远洋,交运,2100,15.18,31878.0,0.0333,0.757
600027,华电国际,电力,6700,4.96,33232.0,0.0333,0.7534
601006,大秦铁路,交运,6400,5.16,33024.0,0.0333,0.7503
601898,中煤能源,煤炭,2600,12.44,32344.0,0.0333,0.7352
000002,万科A,地产,7100,4.65,33015.0,0.0333,0.7257
601318,中国平安,保险,400,68.4,27360.0,0.0333,0.6894
000651,格力电器,家电,800,39.22,31376.0,0.0333,0.6891
600011,华能国际,电力,4400,7.46,32824.0,0.0333,0.6863
601211,国泰君安,非银金融,1600,20.55,32880.0,0.0333,0.6828
600690,青岛海尔,家电,1200,26.09,31308.0,0.0333,0.6794
601728,中国电信,通信,5200,6.3,32760.0,0.0333,0.6771
601336,新华保险,保险,400,69.7,27880.0,0.0333,0.6675
601319,中国人保,保险,3700,8.95,33115.0,0.0333,0.6665
600050,中国联通,通信,6500,5.11,33215.0,0.0333,0.6626
600999,招商证券,非银金融,2000,16.64,33280.0,0.0333,0.6561
001979,招商蛇口,地产,3800,8.64,32832.0,0.0333,0.6492
000166,申万宏源,非银金融,6300,5.27,33201.0,0.0333,0.6465
000338,潍柴动力,汽车,1900,17.2,32680.0,0.0333,0.6184
000983,山西焦煤,煤炭,5100,6.42,32742.0,0.0333,0.6177
601225,陕西煤业,煤炭,1500,21.32,31980.0,0.0333,0.6105
002252,上海莱士,医药,5200,6.32,32864.0,0.0333,0.6103
