date,action,ticker,name,weight,price,score,note
2025-12-31,BUY,601186,中国铁建,0.0333,7.68,0.8862,initial; fee=8.58
2025-12-31,BUY,1,深发展A,0.0333,11.42,0.8243,initial; fee=8.61
2025-12-31,BUY,601800,中国交建,0.0333,8.13,0.8241,initial; fee=8.66
2025-12-31,BUY,601668,中国建筑,0.0333,5.14,0.822,initial; fee=8.54
2025-12-31,BUY,600018,上港集团,0.0333,5.38,0.7907,initial; fee=8.67
2025-12-31,BUY,600023,浙能电力,0.0333,4.95,0.7907,initial; fee=8.63
2025-12-31,BUY,601169,北京银行,0.0333,5.49,0.7888,initial; fee=8.56
2025-12-31,BUY,2142,宁波银行,0.0333,28.12,0.7842,initial; fee=8.04
2025-12-31,BUY,600585,海螺水泥,0.0333,21.88,0.782,initial; fee=8.53
2025-12-31,BUY,601919,中国远洋,0.0333,15.2,0.757,initial; fee=8.30
2025-12-31,BUY,600027,华电国际,0.0333,4.96,0.7534,initial; fee=8.65
2025-12-31,BUY,601006,大秦铁路,0.0333,5.17,0.7503,initial; fee=8.59
2025-12-31,BUY,601898,中煤能源,0.0333,12.45,0.7352,initial; fee=8.42
2025-12-31,BUY,2,万科A,0.0333,4.65,0.7257,initial; fee=8.59
2025-12-31,BUY,601318,中国平安,0.0333,68.47,0.6894,initial; fee=7.12
2025-12-31,BUY,651,格力电器,0.0333,39.26,0.6891,initial; fee=8.17
2025-12-31,BUY,600011,华能国际,0.0333,7.47,0.6863,initial; fee=8.54
2025-12-31,BUY,601211,国泰君安,0.0333,20.57,0.6828,initial; fee=8.56
2025-12-31,BUY,600690,青岛海尔,0.0333,26.12,0.6794,initial; fee=8.15
2025-12-31,BUY,601728,中国电信,0.0333,6.31,0.6771,initial; fee=8.53
2025-12-31,BUY,601336,新华保险,0.0333,69.77,0.6675,initial; fee=7.26
2025-12-31,BUY,601319,中国人保,0.0333,8.96,0.6665,initial; fee=8.62
2025-12-31,BUY,600050,中国联通,0.0333,5.12,0.6626,initial; fee=8.64
2025-12-31,BUY,600999,招商证券,0.0333,16.66,0.6561,initial; fee=8.66
2025-12-31,BUY,1979,招商蛇口,0.0333,8.65,0.6492,initial; fee=8.54
2025-12-31,BUY,166,申万宏源,0.0333,5.28,0.6465,initial; fee=8.64
2025-12-31,BUY,338,潍柴动力,0.0333,17.22,0.6184,initial; fee=8.51
2025-12-31,BUY,983,山西焦煤,0.0333,6.43,0.6177,initial; fee=8.52
2025-12-31,BUY,601225,陕西煤业,0.0333,21.34,0.6105,initial; fee=8.32
2025-12-31,BUY,2252,上海莱士,0.0333,6.33,0.6103,initial; fee=8.55
2026-01-30,SELL,601336,新华保险,0.0,83.12,,PnL=+5306;fee=25
2026-01-30,SELL,2142,宁波银行,0.0,30.92,,PnL=+3047;fee=26
2026-01-30,SELL,1979,招商蛇口,0.0,10.56,,PnL=+7222;fee=30
2026-01-30,SELL,601225,陕西煤业,0.0,22.26,,PnL=+1341;fee=25
2026-01-30,SELL,983,山西焦煤,0.0,7.3,,PnL=+4432;fee=28
2026-01-30,SELL,601169,北京银行,0.0,5.29,,PnL=-1177;fee=24
2026-01-30,SELL,600999,招商证券,0.0,17.09,,PnL=+838;fee=26
2026-01-30,SELL,601211,国泰君安,0.0,19.81,,PnL=-1249;fee=24
2026-01-30,SELL,338,潍柴动力,0.0,23.72,,PnL=+12305;fee=34
2026-01-30,SELL,601318,中国平安,0.0,66.68,,PnL=-741;fee=20
2026-01-30,BUY,625,长安汽车,0.0333,11.13,0.6043,rebalance; fee=10
2026-01-30,BUY,601166,兴业银行,0.0333,18.16,0.7565,rebalance; fee=9
2026-01-30,BUY,2236,大华股份,0.0333,18.98,0.588,rebalance; fee=9
2026-01-30,BUY,600061,国投安信,0.0333,7.7,0.584,rebalance; fee=10
2026-01-30,BUY,157,中联重科,0.0333,8.78,0.5256,rebalance; fee=10
2026-01-30,BUY,600019,宝钢股份,0.0333,7.31,0.5566,rebalance; fee=10
2026-01-30,BUY,688187,时代电气,0.0333,57.2,0.5261,rebalance; fee=9
2026-01-30,BUY,601818,光大银行,0.0333,3.22,0.772,rebalance; fee=10
2026-01-30,BUY,601877,正泰电器,0.0333,29.26,0.5814,rebalance; fee=9
2026-01-30,BUY,601881,中国银河,0.0333,15.04,0.5898,rebalance; fee=9
2026-02-27,SELL,601898,中煤能源,0.0,15.15,,PnL=+6988;fee=30
2026-02-27,SELL,1,深发展A,0.0,10.89,,PnL=-1576;fee=24
2026-02-27,SELL,166,申万宏源,0.0,5.0,,PnL=-1735;fee=24
2026-02-27,SELL,157,中联重科,0.0,9.98,,PnL=+5004;fee=32
2026-02-27,SELL,2236,大华股份,0.0,19.24,,PnL=+460;fee=28
2026-02-27,SELL,601877,正泰电器,0.0,33.01,,PnL=+4458;fee=30
2026-02-27,SELL,688187,时代电气,0.0,59.34,,PnL=+1250;fee=27
2026-02-27,SELL,601881,中国银河,0.0,14.6,,PnL=-1091;fee=27
2026-02-27,SELL,601728,中国电信,0.0,5.78,,PnL=-2746;fee=23
2026-02-27,SELL,600011,华能国际,0.0,7.23,,PnL=-1065;fee=24
2026-02-27,SELL,601166,兴业银行,0.0,18.29,,PnL=+230;fee=28
2026-02-27,BUY,601328,交通银行,0.0333,6.56,0.7951,rebalance; fee=9
2026-02-27,BUY,600016,民生银行,0.0333,3.88,0.8218,rebalance; fee=9
2026-02-27,BUY,601857,中国石油,0.0333,10.87,0.6073,rebalance; fee=9
2026-02-27,BUY,600999,招商证券,0.0333,16.62,0.6555,rebalance; fee=9
2026-02-27,BUY,601211,国泰君安,0.0333,18.95,0.6638,rebalance; fee=9
2026-02-27,BUY,601985,中国核电,0.0333,8.53,0.5299,rebalance; fee=9
2026-02-27,BUY,600028,中国石化,0.0333,6.47,0.5969,rebalance; fee=9
2026-02-27,BUY,601601,中国太保,0.0333,40.85,0.6387,rebalance; fee=8
2026-02-27,BUY,1979,招商蛇口,0.0333,9.92,0.6013,rebalance; fee=9
2026-02-27,BUY,333,美的集团,0.0333,78.72,0.5226,rebalance; fee=8
2026-02-27,BUY,601318,中国平安,0.0333,63.15,0.6528,rebalance; fee=8
2026-03-31,SELL,601985,中国核电,0.0,9.04,,PnL=+2114;fee=29
2026-03-31,SELL,601006,大秦铁路,0.0,5.35,,PnL=+1178;fee=26
2026-03-31,SELL,601328,交通银行,0.0,6.99,,PnL=+2362;fee=29
2026-03-31,SELL,601668,中国建筑,0.0,5.0,,PnL=-866;fee=24
2026-03-31,SELL,625,长安汽车,0.0,9.99,,PnL=-3800;fee=25
2026-03-31,SELL,600028,中国石化,0.0,5.87,,PnL=-3352;fee=25
2026-03-31,SELL,601601,中国太保,0.0,37.05,,PnL=-3069;fee=23
2026-03-31,SELL,600999,招商证券,0.0,15.42,,PnL=-2537;fee=25
2026-03-31,SELL,601857,中国石油,0.0,12.18,,PnL=+4273;fee=31
2026-03-31,SELL,333,美的集团,0.0,76.27,,PnL=-1009;fee=23
2026-03-31,SELL,600061,国投安信,0.0,6.92,,PnL=-3753;fee=25
2026-03-31,SELL,2252,上海莱士,0.0,5.81,,PnL=-2695;fee=23
2026-03-31,BUY,601377,兴业证券,0.0333,5.88,0.6608,rebalance; fee=9
2026-03-31,BUY,601868,中国能建,0.0333,2.9,0.7382,rebalance; fee=9
2026-03-31,BUY,601728,中国电信,0.0333,5.68,0.6347,rebalance; fee=9
2026-03-31,BUY,601688,华泰证券,0.0333,17.82,0.665,rebalance; fee=9
2026-03-31,BUY,601898,中煤能源,0.0333,17.22,0.7182,rebalance; fee=9
2026-03-31,BUY,601225,陕西煤业,0.0333,25.62,0.6299,rebalance; fee=9
2026-03-31,BUY,983,山西焦煤,0.0333,6.69,0.6307,rebalance; fee=9
2026-03-31,BUY,601336,新华保险,0.0333,61.59,0.6834,rebalance; fee=8
