,score,rank,momentum_60,momentum_120_5,reversal_5,low_vol_60,amount_ratio_5_20,ma_pos_20,value_pe,value_pb,quality_roe,name
001391,0.7891767077687655,1,-0.0962,-0.0746,0.0452,-0.1142,1.4324,-0.0442,0.0371,0.361,7.04,国货航
603296,0.7089385343897978,2,-0.1388,0.1891,0.0393,-0.4143,0.7525,-0.0204,0.0431,0.2695,12.46,华勤技术
688472,0.7008908059449575,3,0.1094,0.7626,0.0527,-0.923,1.099,-0.0425,0.0236,0.4329,4.21,阿特斯
600938,0.6990974729241877,4,0.1854,0.1307,-0.0736,-0.2485,1.1831,0.0593,0.0859,0.5464,12.98,中国海油
601059,0.6372591307609358,5,-0.1083,0.2359,0.0056,-0.3041,0.7742,-0.0167,0.0319,0.3546,5.13,信达证券
601136,0.5594167565286698,6,-0.1455,-0.0306,0.0116,-0.2043,0.6778,-0.0247,0.0202,0.2674,5.85,首创证券
688082,0.5121149608514229,7,-0.1276,0.6065,0.0273,-0.436,0.8922,0.0258,0.0197,0.157,9.53,盛美上海
688271,0.44312672886680105,8,-0.172,-0.0117,0.0067,-0.2401,1.0932,-0.0212,0.0165,0.2012,5.38,联影医疗
688223,0.3966219700876741,9,0.0144,0.0707,-0.0349,-0.397,1.8217,0.0272,,0.4831,-13.81,晶科能源
688506,0.35796802475502837,10,-0.1391,0.1324,0.0553,-0.3829,1.2716,-0.0738,,0.0538,-6.9,百利天恒
600690,0.35000000000000003,11,0.0411,0.1402,0.0279,-0.1704,1.005,-0.0344,,,14.53,青岛海尔
601186,0.3344765342960289,12,-0.0229,0.0182,0.0192,-0.1086,1.1083,-0.0128,,,4.34,中国铁建
000858,0.3344765342960289,13,-0.109,-0.0319,0.0306,-0.1399,0.9499,-0.0342,,,15.1,五粮液
000858,0.3344765342960289,13,-0.109,-0.0319,0.0306,-0.1399,0.9499,-0.0342,,,15.1,五粮液
600023,0.33411552346570395,14,0.0102,0.026,0.0351,-0.1724,1.4064,-0.0326,,,8.3,浙能电力
600011,0.33339350180505417,15,0.0567,0.1565,0.0652,-0.2667,1.6734,-0.046,,,10.09,华能国际
600018,0.33194945848375457,16,-0.0056,-0.0108,0.0219,-0.1162,1.0545,-0.0227,,,8.05,上港集团
600027,0.32942238267148016,17,-0.008,-0.017,0.0462,-0.1806,1.4936,-0.0454,,,9.24,华电国际
600027,0.32942238267148016,17,-0.008,-0.017,0.0462,-0.1806,1.4936,-0.0454,,,9.24,华电国际
300628,0.3285198555956679,18,-0.0365,0.0756,0.0326,-0.2005,0.7265,-0.0019,,,22.57,亿联网络
600585,0.32815884476534296,19,-0.0586,0.0538,0.021,-0.1636,1.0145,-0.0166,,,3.31,海螺水泥
600519,0.3223826714801444,20,-0.0302,0.0143,0.0169,-0.1243,0.9673,-0.0156,,,25.14,贵州茅台
600918,0.32021660649819494,21,-0.0647,0.0328,0.0166,-0.1415,0.6555,-0.0264,,,3.0,中泰证券
600918,0.32021660649819494,21,-0.0647,0.0328,0.0166,-0.1415,0.6555,-0.0264,,,3.0,中泰证券
601006,0.3167870036101083,22,-0.1119,-0.1669,0.0246,-0.0846,1.0162,-0.0416,,,3.74,大秦铁路
601728,0.31678700361010825,23,-0.0541,-0.1415,0.0293,-0.1389,1.0491,-0.0494,,,6.72,中国电信
600233,0.3160649819494585,24,-0.1052,0.314,0.0191,-0.2374,1.1836,-0.0366,,,8.62,圆通速递
600674,0.3160649819494585,25,-0.0266,-0.1078,0.0232,-0.1264,1.0649,-0.0299,,,9.51,川投能源
002252,0.31570397111913356,26,-0.0525,-0.0557,0.0186,-0.1046,0.7232,-0.0158,,,4.51,上海莱士
603195,0.31552346570397116,27,-0.0858,-0.1259,0.0251,-0.1367,0.9045,-0.0322,,,19.02,公牛集团
000895,0.3140794223826715,28,0.0723,0.125,0.0096,-0.1272,0.9792,-0.0108,,,19.57,双汇发展
002371,0.3131768953068592,29,0.0149,0.4686,0.0458,-0.4029,1.1689,0.0038,,,14.23,北方华创
600009,0.3117328519855596,30,0.0341,0.082,0.0264,-0.2232,0.7484,0.0102,,,3.89,上海机场
