,score,rank,industry,momentum_60,momentum_120_5,reversal_5,low_vol_60,amount_ratio_5_20,ma_pos_20,value_pe,value_pb,quality_roe,name
601186,0.8695140594456418,1,建筑,-0.0229,0.0182,0.0192,-0.1086,1.1083,-0.0128,0.2049,2.6316,4.34,中国铁建
601800,0.8258777755500977,2,建筑,-0.058,-0.0385,0.0158,-0.1233,0.9548,-0.0172,0.1548,2.1739,4.14,中国交建
000001,0.8231830484687483,3,银行,0.0289,-0.0444,0.0116,-0.1222,0.7492,-0.0079,0.1946,2.0408,7.4,深发展A
601668,0.8219882462031979,4,建筑,-0.0587,-0.0528,0.0135,-0.1518,0.94,-0.0132,0.2105,2.2727,7.77,中国建筑
600023,0.8086029522329707,5,电力,0.0102,0.026,0.0351,-0.1724,1.4064,-0.0326,0.1098,1.1364,8.3,浙能电力
600018,0.8040442834945617,6,交运,-0.0056,-0.0108,0.0219,-0.1162,1.0545,-0.0227,0.1143,1.1111,8.05,上港集团
601117,0.8031652548744422,7,其他,0.0123,0.0313,0.0198,-0.182,0.9305,-0.0079,0.1323,1.4286,6.46,中国化学
600585,0.8009278983509598,8,建材,-0.0586,0.0538,0.021,-0.1636,1.0145,-0.0166,0.076,1.6393,3.31,海螺水泥
002142,0.796309708786527,9,银行,0.075,0.0653,0.0099,-0.148,0.9795,-0.0006,0.1555,1.1765,8.88,宁波银行
600027,0.7892837451756802,10,电力,-0.0082,-0.0175,0.0474,-0.1856,1.4936,-0.0467,0.1212,0.8475,9.24,华电国际
601169,0.7822089118339932,11,银行,-0.0054,-0.1864,0.0036,-0.1357,0.7111,-0.0098,0.2268,2.381,5.46,北京银行
601919,0.7739599518821112,12,交运,0.1049,0.0463,0.0107,-0.1699,0.8847,0.003,0.1618,0.9901,11.66,中国远洋
601006,0.7682152523683025,13,交运,-0.1119,-0.1669,0.0246,-0.0846,1.0162,-0.0416,0.0641,1.6129,3.74,大秦铁路
601898,0.7640419026615207,14,煤炭,0.1117,0.2349,0.0342,-0.3403,0.9298,-0.0448,0.1043,0.9524,7.93,中煤能源
600011,0.7512649741867575,15,电力,0.0567,0.1565,0.0652,-0.2667,1.6734,-0.046,0.1244,0.5714,10.09,华能国际
000002,0.7440560623527643,16,地产,-0.3251,-0.2504,0.0231,-0.3295,0.522,-0.0467,0.1284,3.125,-15.94,万科A
000651,0.7357087364041903,17,家电,0.0129,-0.0636,0.0136,-0.109,1.0734,-0.0136,0.1406,0.641,14.86,格力电器
600690,0.7338704826825723,18,家电,0.0411,0.1402,0.0279,-0.1704,1.005,-0.0344,0.0857,0.4878,14.53,青岛海尔
601318,0.7269222094130621,19,保险,0.2717,0.2694,0.0094,-0.2404,0.9384,0.0287,0.1133,0.7937,13.47,中国平安
601211,0.723461856548544,20,非银金融,0.0996,0.1092,0.0151,-0.2087,0.7228,0.004,0.0706,0.8696,6.81,国泰君安
601728,0.7156846774597765,21,通信,-0.0548,-0.1432,0.0297,-0.1408,1.0491,-0.0501,0.0598,0.7937,6.72,中国电信
601336,0.7138144704526088,22,保险,0.1523,0.2679,0.0213,-0.2955,0.8432,0.0092,0.1767,0.463,32.69,新华保险
601319,0.7083824119091775,23,保险,0.1593,0.0669,0.0154,-0.3183,0.7377,0.0075,0.1348,0.7937,14.91,中国人保
600999,0.699001929727833,24,非银金融,-0.0275,-0.0148,0.003,-0.1482,0.9988,-0.0014,0.0837,0.813,6.59,招商证券
600050,0.6933161245050372,25,通信,-0.0524,-0.0212,0.0039,-0.1081,0.7933,-0.0147,0.0592,1.0753,5.1,中国联通
000166,0.6880933286552053,26,非银金融,-0.0057,0.0733,-0.0,-0.1582,0.894,0.0076,0.0711,0.8403,7.21,申万宏源
000338,0.6841474111573355,27,汽车,0.2592,0.1931,0.0199,-0.3396,0.8262,-0.0172,0.0792,0.6289,9.44,潍柴动力
001979,0.6828417121948774,28,地产,-0.1504,0.0379,0.0137,-0.209,0.9486,-0.0226,0.0505,1.2658,2.38,招商蛇口
601225,0.6735113528143952,29,煤炭,0.0691,0.1377,0.0197,-0.259,0.8482,-0.0251,0.0925,0.4566,13.46,陕西煤业
000858,0.6475439827577565,30,食品饮料,-0.109,-0.0319,0.0306,-0.1399,0.9499,-0.0342,0.0692,0.346,15.1,五粮液
