label,freq,top_n,max_ind,periods,stocks,total,ann,sharpe,mdd,turnover,time_s
freq=weekly,W-FRI,30,3,254,207,0.7134035887269463,0.10650672519610604,0.39371037484695653,-0.21388901016234652,0.40500658761528324,5.051944017410278
freq=biweekly,2W-FRI,30,3,130,193,inf,inf,,-0.05932510192697715,0.41059431524547807,3.560290813446045
freq=monthly_baseline,ME,30,3,43,147,0.8853312737682977,0.12657281935580134,0.5612486563537062,-0.163947278121642,0.44761904761904764,2.0384037494659424
freq=quarterly,QE,30,3,16,121,0.6335613875169697,0.09662698966308114,0.3872330582787001,-0.21423270714662446,0.4577777777777778,1.5140433311462402
top_n=15,ME,15,3,43,99,0.6858311136244064,0.10313796672846309,0.4136125294569017,-0.183522976001801,0.5666666666666667,1.497309923171997
top_n=20,ME,20,3,43,125,0.9172243142608385,0.13013034675847734,0.5622438422926409,-0.16646174874565867,0.5297619047619048,1.7838084697723389
top_n=30,ME,30,3,43,147,0.8853312737682977,0.12657281935580134,0.5612486563537062,-0.163947278121642,0.44761904761904764,2.04541277885437
top_n=40,ME,40,3,43,168,0.7288878332731161,0.10837930457037181,0.4706894704289313,-0.17119631836979365,0.3720238095238095,2.32031512260437
top_n=50,ME,50,3,43,182,0.6265341136603344,0.09573878334701003,0.40324408609610934,-0.19678217555861144,0.3261904761904762,2.4753777980804443
max=2,ME,20,2,43,126,0.7759511335023399,0.11398848053159871,0.47908608316909873,-0.17150354907486864,0.5297619047619049,1.7813136577606201
max=3,ME,20,3,43,125,0.9172243142608385,0.13013034675847734,0.5622438422926409,-0.16646174874565867,0.5297619047619048,1.7929589748382568
max=5,ME,20,5,43,108,0.8335478997397672,0.12069111655285414,0.5165903022060233,-0.17712224292002432,0.5059523809523808,1.609537124633789
no_limit,ME,20,no,43,84,1.2095562348588222,0.16067954522567418,0.7868693907660019,-0.14094359064683448,0.2976190476190476,1.303213357925415
