,score,rank,industry,momentum_60,momentum_120_5,reversal_5,low_vol_60,amount_ratio_5_20,ma_pos_20,value_pe,value_pb,quality_roe,name
601186,0.8065726944535608,1,建筑,-0.0229,0.0182,0.0192,-0.1086,1.1083,-0.0128,0.2049,2.6316,4.34,中国铁建
002142,0.7995444699704628,2,银行,0.075,0.0653,0.0099,-0.148,0.9795,-0.0006,0.1555,1.1765,8.88,宁波银行
000001,0.7963583852970134,3,银行,0.0279,-0.0431,0.0113,-0.1184,0.7492,-0.0077,0.1946,2.0408,7.4,深发展A
601919,0.7860118148999016,4,交运,0.1016,0.045,0.0104,-0.1648,0.8847,0.0029,0.1618,0.9901,11.66,中国远洋
601398,0.7798011158516575,5,银行,0.1075,0.0762,-0.0025,-0.165,0.915,0.0078,0.1297,1.3514,6.48,工商银行
601318,0.7726343944863802,6,保险,0.2629,0.2608,0.0091,-0.2335,0.9384,0.0279,0.1133,0.7937,13.47,中国平安
600023,0.7591814899901542,7,电力,0.0102,0.026,0.0351,-0.1724,1.4064,-0.0326,0.1098,1.1364,8.3,浙能电力
601898,0.7562829012143092,8,煤炭,0.1117,0.2349,0.0342,-0.3403,0.9298,-0.0448,0.1043,0.9524,7.93,中煤能源
600018,0.7553111256974074,9,交运,-0.0056,-0.0108,0.0219,-0.1162,1.0545,-0.0227,0.1143,1.1111,8.05,上港集团
601390,0.7529415818838201,10,建筑,-0.0037,0.0188,0.0018,-0.1757,1.1115,0.0045,0.1859,2.381,4.72,中国中铁
601800,0.7376258615031178,11,建筑,-0.058,-0.0385,0.0158,-0.1233,0.9548,-0.0172,0.1548,2.1739,4.14,中国交建
601211,0.7334719396127339,12,非银金融,0.0978,0.1072,0.0149,-0.2049,0.7228,0.0039,0.0706,0.8696,6.81,国泰君安
601607,0.7320479159829341,13,医药,-0.005,0.0212,0.0039,-0.1054,0.6614,-0.0026,0.0853,1.1494,6.79,上海医药
601319,0.72233639645553,14,保险,0.1593,0.0669,0.0154,-0.3183,0.7377,0.0075,0.1348,0.7937,14.91,中国人保
600027,0.7217528716770594,15,电力,-0.008,-0.017,0.0462,-0.1806,1.4936,-0.0454,0.1212,0.8475,9.24,华电国际
601336,0.7190810633409912,16,保险,0.1523,0.2679,0.0213,-0.2955,0.8432,0.0092,0.1767,0.463,32.69,新华保险
601298,0.7136731211027241,17,交运,0.0134,0.0071,0.0142,-0.171,1.0007,-0.0156,0.1013,0.8403,9.22,青岛港
600585,0.7132097144732523,18,建材,-0.0586,0.0538,0.021,-0.1636,1.0145,-0.0166,0.076,1.6393,3.31,海螺水泥
601857,0.7127233344273056,19,石油石化,0.2916,0.1698,-0.0569,-0.2249,1.1817,0.0619,0.0831,0.8197,8.1,中国石油
600011,0.7108375451263539,20,电力,0.0567,0.1565,0.0652,-0.2667,1.6734,-0.046,0.1244,0.5714,10.09,华能国际
000338,0.7107062684607811,21,汽车,0.2592,0.1931,0.0199,-0.3396,0.8262,-0.0172,0.0792,0.6289,9.44,潍柴动力
000651,0.7088194945848376,22,家电,0.0129,-0.0636,0.0136,-0.109,1.0734,-0.0136,0.1406,0.641,14.86,格力电器
600690,0.708677715786019,23,家电,0.0411,0.1402,0.0279,-0.1704,1.005,-0.0344,0.0857,0.4878,14.53,青岛海尔
000166,0.6808651132261241,24,非银金融,-0.0057,0.0733,-0.0,-0.1582,0.894,0.0076,0.0711,0.8403,7.21,申万宏源
601688,0.6783485395470956,25,非银金融,0.0911,0.3677,0.0013,-0.3477,0.8148,0.0335,0.0731,0.8065,6.2,华泰证券
600019,0.670875287167706,26,钢铁,0.0537,0.1096,-0.0362,-0.1967,0.9162,0.0325,0.0582,1.2658,3.9,宝钢股份
601225,0.6658234328848047,27,煤炭,0.066,0.1312,0.0189,-0.2484,0.8482,-0.024,0.0925,0.4566,13.46,陕西煤业
600219,0.6657866754184444,28,有色,0.4541,0.4185,-0.0653,-0.4855,1.1821,0.0975,0.0828,0.8403,7.25,南山铝业
600028,0.6640259271414507,29,石油石化,0.1682,0.061,-0.0457,-0.1837,1.2795,0.0453,0.0482,1.1111,3.61,中国石化
000333,0.6624798162126682,30,家电,0.0829,0.1003,0.0082,-0.1459,0.917,-0.0203,0.0753,0.3717,17.18,美的集团
