,score,rank,industry,momentum_60,momentum_120_5,reversal_5,low_vol_60,amount_ratio_5_20,ma_pos_20,value_pe,value_pb,quality_roe
601390,0.889344262295082,1,建筑,-0.0276,0.0789,0.0047,-0.2087,0.7789,-0.0282,0.2062,1.5873,7.6
601186,0.8817622950819672,2,建筑,-0.0567,-0.068,0.0137,-0.1861,0.8589,-0.0349,0.1908,1.6667,6.68
601288,0.8649590163934426,3,银行,-0.0153,-0.035,-0.0,-0.1845,1.0105,-0.0215,0.1786,1.6667,7.68
601988,0.8635245901639343,4,银行,-0.0102,-0.0676,-0.0052,-0.1569,0.7364,-0.0079,0.1859,1.8519,7.36
601668,0.8616803278688524,5,建筑,-0.0288,0.022,-0.0,-0.2034,0.8725,-0.0271,0.2049,1.3333,10.74
600016,0.8528688524590163,6,银行,-0.0243,-0.0571,-0.0152,-0.178,0.7566,-0.003,0.2037,2.0833,7.01
600023,0.8141393442622952,7,电力,0.0,0.0941,-0.0108,-0.2291,1.6086,-0.0065,0.1152,1.2987,7.89
601006,0.798360655737705,8,交运,0.0214,-0.0275,-0.0094,-0.1874,0.7332,-0.0268,0.11,1.2195,7.66
600028,0.7872950819672131,9,石油石化,0.0876,0.0594,-0.0172,-0.2469,0.793,-0.0092,0.0783,1.5152,3.22
600011,0.7735655737704917,10,电力,-0.1954,0.1326,0.0254,-0.3952,1.4406,-0.0408,0.0733,1.0638,7.18
600515,0.7629098360655737,11,交运,-0.2396,0.3125,0.0108,-0.3559,0.8532,0.0304,0.0644,0.9091,3.38
600048,0.7569672131147541,12,地产,-0.0052,-0.0221,-0.0166,-0.2476,0.9633,-0.0155,0.1517,0.7812,7.97
601985,0.7524590163934426,13,电力,0.1493,0.2799,-0.0025,-0.2678,1.5847,0.0295,0.0742,0.6623,8.42
600019,0.7521516393442623,14,钢铁,0.3009,0.4577,-0.0024,-0.5226,0.6526,-0.0147,0.085,1.3333,4.36
601607,0.7471311475409835,15,医药,-0.062,0.049,-0.0188,-0.2329,0.901,-0.0019,0.0785,0.813,8.12
601088,0.7381147540983607,16,煤炭,0.3784,1.4017,0.0018,-0.9356,0.8549,-0.0432,0.1107,1.0,9.37
601857,0.7343237704918032,17,石油石化,0.0179,-0.0043,0.0044,-0.228,0.8779,-0.0153,0.0244,1.6129,0.83
600010,0.7315573770491803,18,钢铁,0.0177,0.0755,-0.0088,-0.1931,0.8592,-0.0026,0.0441,1.0,0.32
000617,0.7190573770491803,19,非银金融,-0.0066,-0.0954,-0.0306,-0.2421,0.9574,-0.0008,0.095,1.0526,7.02
600050,0.7133196721311476,20,通信,-0.0931,-0.1061,-0.0026,-0.1914,1.0417,-0.0393,0.039,1.0526,3.26
601898,0.709016393442623,21,煤炭,0.2766,0.3895,-0.0042,-0.651,0.9332,0.0334,0.0666,1.6667,4.16
300498,0.7015368852459016,22,农林牧渔,-0.0561,-0.1623,0.0236,-0.2999,0.7713,-0.0367,0.1379,0.4,17.62
600585,0.700204918032787,23,建材,-0.0768,-0.0844,-0.0055,-0.3004,1.1529,-0.0181,0.1297,0.5682,16.31
001979,0.6975409836065574,24,地产,-0.1405,-0.1873,-0.0206,-0.2716,0.8405,-0.0097,0.1304,0.7092,2.51
600377,0.6930327868852459,25,交运,-0.0392,-0.0325,-0.0044,-0.1446,0.9823,-0.0143,0.0549,0.5988,6.86
000002,0.6885245901639343,26,地产,0.0271,0.036,-0.0303,-0.2326,0.9468,0.0043,0.1205,0.6024,9.8
601211,0.6854508196721312,27,非银金融,-0.0458,-0.0021,-0.03,-0.2693,1.1387,-0.0126,0.0719,0.8065,6.62
000425,0.6834016393442623,28,机械,-0.0381,-0.1328,0.0066,-0.4109,0.8656,-0.0241,0.0717,0.7194,7.5
601688,0.6825819672131147,29,非银金融,-0.139,-0.0796,-0.0229,-0.2779,1.3784,-0.0125,0.0712,0.7937,6.95
000999,0.6711065573770493,30,医药,-0.0334,-0.1879,0.0009,-0.252,0.7235,-0.0356,0.0679,0.5464,11.41
