date,value_pb,value_pe,reversal_5,low_vol_60,momentum_120_5,total_score
2021-03-31,,,0.1812,,,
2021-04-30,,,0.1621,0.1053,,
2021-05-31,0.2401,0.199,0.1411,0.1097,,
2021-06-30,0.2435,0.2015,0.1256,0.1185,,
2021-08-31,0.242,0.2055,0.1007,0.1117,0.0441,0.704
2021-09-30,0.2369,0.1941,0.1338,0.099,0.0547,0.7185
2021-11-30,0.2362,0.204,0.1321,0.0905,0.0416,0.7044
2021-12-31,0.2429,0.1952,0.131,0.0993,0.0524,0.7208
2022-02-28,0.2456,0.199,0.143,0.1044,0.0602,0.752
2022-03-31,0.2407,0.1966,0.088,0.103,0.0515,0.6799
2022-05-31,0.2391,0.1957,0.141,0.1065,0.0691,0.7513
2022-06-30,0.2442,0.1895,0.1359,0.1104,0.0609,0.7409
2022-08-31,0.2405,0.1913,0.1021,0.1098,0.0567,0.7004
2022-09-30,0.2437,0.1866,0.1271,0.1081,0.0552,0.7207
2022-10-31,0.239,0.1934,0.1361,0.1054,0.0488,0.7226
2022-11-30,0.2333,0.1801,0.1094,0.1154,0.0587,0.6968
2023-01-31,0.2368,0.1965,0.115,0.0939,0.0644,0.7066
2023-02-28,0.2329,0.1897,0.1311,0.0938,0.0652,0.7128
2023-03-31,0.2391,0.19,0.149,0.0975,0.0598,0.7354
2023-05-31,0.2304,0.1953,0.1268,0.0938,0.0485,0.6949
2023-06-30,0.2324,0.184,0.1171,0.0983,0.0501,0.6819
2023-07-31,0.2227,0.1813,0.1387,0.098,0.0703,0.711
2023-08-31,0.2314,0.1869,0.1345,0.0999,0.066,0.7187
2023-10-31,0.229,0.1958,0.1484,0.0965,0.0594,0.7291
2023-11-30,0.2338,0.1944,0.1219,0.0911,0.0492,0.6903
2024-01-31,0.2294,0.1767,0.0982,0.1056,0.0511,0.661
2024-02-29,0.2337,0.1897,0.1605,0.096,0.0623,0.7421
2024-04-30,0.2213,0.1838,0.1484,0.1029,0.0597,0.7161
2024-05-31,0.2216,0.1834,0.1384,0.1027,0.0572,0.7033
2024-07-31,0.2232,0.1823,0.1382,0.1038,0.0697,0.7173
2024-09-30,0.2183,0.1828,0.1455,0.1117,0.0681,0.7263
2024-10-31,0.2182,0.1947,0.1602,0.0977,0.0564,0.7272
2024-12-31,0.2321,0.1849,0.1244,0.0902,0.0517,0.6834
2025-02-28,0.2317,0.1989,0.1131,0.0995,0.0453,0.6885
2025-03-31,0.2371,0.1891,0.1322,0.1008,0.0438,0.703
2025-04-30,0.2356,0.1826,0.1574,0.0927,0.0438,0.712
2025-06-30,0.2283,0.192,0.1441,0.1079,0.0555,0.7278
2025-07-31,0.2326,0.1885,0.1421,0.0857,0.0639,0.7129
2025-09-30,0.2243,0.2018,0.1518,0.1092,0.0365,0.7235
2025-10-31,0.2304,0.1869,0.1298,0.1048,0.0425,0.6946
2025-12-31,0.2238,0.1918,0.1531,0.1092,0.0395,0.7175
2026-03-31,0.2271,0.1918,0.142,0.0906,0.0563,0.7078
2026-04-30,0.2324,0.1841,0.1255,0.1005,0.0477,0.6902
