date,v5,hs300,alpha,regime
2021-02-28,0.0,-0.0028,0.0028,C_Sideways (-3%~0)
2021-03-31,0.0,-0.054,0.054,D_Bear (<-3%)
2021-04-30,0.0188,0.0149,0.0039,B_Rebound (0~+5%)
2021-05-31,0.0383,0.0406,-0.0023,B_Rebound (0~+5%)
2021-06-30,-0.0169,-0.0202,0.0033,C_Sideways (-3%~0)
2021-07-31,-0.0915,-0.079,-0.0124,D_Bear (<-3%)
2021-08-31,0.0885,-0.0012,0.0897,C_Sideways (-3%~0)
2021-09-30,0.0957,0.0126,0.083,B_Rebound (0~+5%)
2021-10-31,-0.0481,0.0087,-0.0568,B_Rebound (0~+5%)
2021-11-30,-0.0402,-0.0156,-0.0245,C_Sideways (-3%~0)
2021-12-31,0.0727,0.0224,0.0503,B_Rebound (0~+5%)
2022-01-31,-0.0199,-0.0762,0.0563,D_Bear (<-3%)
2022-02-28,0.0365,0.0039,0.0326,B_Rebound (0~+5%)
2022-03-31,-0.0189,-0.0784,0.0595,D_Bear (<-3%)
2022-04-30,-0.0593,-0.0489,-0.0104,D_Bear (<-3%)
2022-05-31,0.0211,0.0187,0.0024,B_Rebound (0~+5%)
2022-06-30,0.0314,0.0962,-0.0648,A_Bull (>+5%)
2022-07-31,-0.0275,-0.0702,0.0427,D_Bear (<-3%)
2022-08-31,0.0149,-0.0219,0.0368,C_Sideways (-3%~0)
2022-09-30,-0.0473,-0.0672,0.0198,D_Bear (<-3%)
2022-10-31,-0.0399,-0.0778,0.0379,D_Bear (<-3%)
2022-11-30,0.164,0.0981,0.0659,A_Bull (>+5%)
2022-12-31,-0.0317,0.0048,-0.0366,B_Rebound (0~+5%)
2023-01-31,0.0611,0.0737,-0.0125,A_Bull (>+5%)
2023-02-28,0.0245,-0.021,0.0456,C_Sideways (-3%~0)
2023-03-31,0.0407,-0.0046,0.0453,C_Sideways (-3%~0)
2023-04-30,0.1019,-0.0054,0.1073,C_Sideways (-3%~0)
2023-05-31,-0.0497,-0.0572,0.0075,D_Bear (<-3%)
2023-06-30,0.0172,0.0116,0.0057,B_Rebound (0~+5%)
2023-07-31,0.0904,0.0448,0.0456,B_Rebound (0~+5%)
2023-08-31,-0.0539,-0.0621,0.0082,D_Bear (<-3%)
2023-09-30,0.0131,-0.0201,0.0332,C_Sideways (-3%~0)
2023-10-31,-0.0311,-0.0317,0.0006,D_Bear (<-3%)
2023-11-30,-0.0131,-0.0214,0.0082,C_Sideways (-3%~0)
2023-12-31,-0.0108,-0.0186,0.0078,C_Sideways (-3%~0)
2024-01-31,0.0392,-0.0629,0.102,D_Bear (<-3%)
2024-02-29,0.0691,0.0935,-0.0245,A_Bull (>+5%)
2024-03-31,0.0128,0.0061,0.0068,B_Rebound (0~+5%)
2024-04-30,0.0127,0.0189,-0.0063,B_Rebound (0~+5%)
2024-05-31,0.0277,-0.0068,0.0345,C_Sideways (-3%~0)
2024-06-30,-0.0317,-0.033,0.0013,D_Bear (<-3%)
2024-07-31,0.0129,-0.0057,0.0186,C_Sideways (-3%~0)
2024-08-31,-0.0314,-0.0351,0.0037,D_Bear (<-3%)
2024-09-30,0.1646,0.2097,-0.0451,A_Bull (>+5%)
2024-10-31,-0.0598,-0.0316,-0.0282,D_Bear (<-3%)
2024-11-30,-0.0148,0.0066,-0.0214,B_Rebound (0~+5%)
2024-12-31,0.0377,0.0047,0.033,B_Rebound (0~+5%)
2025-01-31,-0.0253,-0.0299,0.0046,C_Sideways (-3%~0)
2025-02-28,0.0068,0.0191,-0.0123,B_Rebound (0~+5%)
2025-03-31,0.0054,-0.0007,0.0061,C_Sideways (-3%~0)
2025-04-30,-0.0206,-0.03,0.0094,D_Bear (<-3%)
2025-05-31,0.0273,0.0185,0.0089,B_Rebound (0~+5%)
2025-06-30,0.0345,0.025,0.0095,B_Rebound (0~+5%)
2025-07-31,0.0366,0.0354,0.0011,B_Rebound (0~+5%)
2025-08-31,0.0307,0.1033,-0.0726,A_Bull (>+5%)
2025-09-30,-0.008,0.032,-0.04,B_Rebound (0~+5%)
2025-10-31,0.0615,-0.0,0.0615,C_Sideways (-3%~0)
2025-11-30,-0.0093,-0.0246,0.0153,C_Sideways (-3%~0)
2025-12-31,0.0211,0.0228,-0.0017,B_Rebound (0~+5%)
2026-01-31,0.0196,0.0165,0.0031,B_Rebound (0~+5%)
2026-02-28,0.0073,0.0009,0.0064,B_Rebound (0~+5%)
2026-03-31,-0.0539,-0.0553,0.0015,D_Bear (<-3%)
2026-04-30,0.0084,0.0803,-0.0719,A_Bull (>+5%)
