,score,rank,industry,momentum_60,momentum_120_5,reversal_5,low_vol_60,amount_ratio_5_20,ma_pos_20,value_pe,value_pb,quality_roe
601186,0.8862287388438272,1,建筑,-0.0229,0.0182,0.0192,-0.1086,1.1083,-0.0128,0.2049,2.6316,4.34
000001,0.8242709491902449,2,银行,0.0279,-0.0431,0.0113,-0.1184,0.7492,-0.0077,0.1946,2.0408,7.4
601800,0.8240946206223041,3,建筑,-0.058,-0.0385,0.0158,-0.1233,0.9548,-0.0172,0.1548,2.1739,4.14
601668,0.8219935979166101,4,建筑,-0.0587,-0.0528,0.0135,-0.1518,0.94,-0.0132,0.2105,2.2727,7.77
600018,0.7907034153487236,5,交运,-0.0056,-0.0108,0.0219,-0.1162,1.0545,-0.0227,0.1143,1.1111,8.05
600023,0.7906762878767327,6,电力,0.0102,0.026,0.0351,-0.1724,1.4064,-0.0326,0.1098,1.1364,8.3
601169,0.7888465398909476,7,银行,-0.0054,-0.1864,0.0036,-0.1357,0.7111,-0.0098,0.2268,2.381,5.46
002142,0.7842118113013049,8,银行,0.075,0.0653,0.0099,-0.148,0.9795,-0.0006,0.1555,1.1765,8.88
600585,0.7819649784336598,9,建材,-0.0586,0.0538,0.021,-0.1636,1.0145,-0.0166,0.076,1.6393,3.31
601919,0.7570233024984402,10,交运,0.1016,0.045,0.0104,-0.1648,0.8847,0.0029,0.1618,0.9901,11.66
600027,0.7534248433388492,11,电力,-0.008,-0.017,0.0462,-0.1806,1.4936,-0.0454,0.1212,0.8475,9.24
601006,0.7502780565879066,12,交运,-0.1119,-0.1669,0.0246,-0.0846,1.0162,-0.0416,0.0641,1.6129,3.74
601898,0.7352087458969698,13,煤炭,0.1117,0.2349,0.0342,-0.3403,0.9298,-0.0448,0.1043,0.9524,7.93
000002,0.7257317635569541,14,地产,-0.3251,-0.2504,0.0231,-0.3295,0.522,-0.0467,0.1284,3.125,-15.94
601318,0.6893945148251636,15,保险,0.2629,0.2608,0.0091,-0.2335,0.9384,0.0279,0.1133,0.7937,13.47
000651,0.6890798361500692,16,家电,0.0129,-0.0636,0.0136,-0.109,1.0734,-0.0136,0.1406,0.641,14.86
600011,0.6863399614789898,17,电力,0.0567,0.1565,0.0652,-0.2667,1.6734,-0.046,0.1244,0.5714,10.09
601211,0.6827699861649892,18,非银金融,0.0978,0.1072,0.0149,-0.2049,0.7228,0.0039,0.0706,0.8696,6.81
600690,0.6794007541437214,19,家电,0.0411,0.1402,0.0279,-0.1704,1.005,-0.0344,0.0857,0.4878,14.53
601728,0.677139679353281,20,通信,-0.0541,-0.1415,0.0293,-0.1389,1.0491,-0.0494,0.0598,0.7937,6.72
601336,0.6674809429509264,21,保险,0.1523,0.2679,0.0213,-0.2955,0.8432,0.0092,0.1767,0.463,32.69
601319,0.6664867211024604,22,保险,0.1593,0.0669,0.0154,-0.3183,0.7377,0.0075,0.1348,0.7937,14.91
600050,0.6626183435965602,23,通信,-0.0519,-0.021,0.0039,-0.1071,0.7933,-0.0146,0.0592,1.0753,5.1
600999,0.6560711282315601,24,非银金融,-0.0275,-0.0148,0.003,-0.1482,0.9988,-0.0014,0.0837,0.813,6.59
001979,0.6491617611154817,25,地产,-0.1504,0.0379,0.0137,-0.209,0.9486,-0.0226,0.0505,1.2658,2.38
000166,0.6465276835851668,26,非银金融,-0.0057,0.0733,-0.0,-0.1582,0.894,0.0076,0.0711,0.8403,7.21
000338,0.6184114152402137,27,汽车,0.2592,0.1931,0.0199,-0.3396,0.8262,-0.0172,0.0792,0.6289,9.44
000983,0.6176789734964598,28,煤炭,-0.0709,0.0758,0.0168,-0.2588,0.7673,-0.0171,0.0465,1.0101,3.91
601225,0.6105295282532621,29,煤炭,0.066,0.1312,0.0189,-0.2484,0.8482,-0.024,0.0925,0.4566,13.46
002252,0.6102623226541518,30,医药,-0.0525,-0.0557,0.0186,-0.1046,0.7232,-0.0158,0.0434,0.7752,4.51
