window,factor,n,mean_ic,std_ic,ir
W1_2021H1_top,momentum_60,2,-0.04962530213801408,0.22970864219052603,-0.21603585161090122
W1_2021H1_top,momentum_120_5,0,,,
W1_2021H1_top,reversal_5,5,-0.12647466616250005,0.12624200871451963,-1.0018429479247795
W1_2021H1_top,low_vol_60,2,-0.19438894269438273,0.00048438433611165937,-401.31137240072223
W1_2021H1_top,amount_ratio_5_20,5,0.05184718427146515,0.1806760214558913,0.28696217601914975
W1_2021H1_top,ma_pos_20,5,0.07752035113006624,0.1546929918174753,0.5011238726414556
W1_2021H1_top,value_pe,0,,,
W1_2021H1_top,value_pb,0,,,
W1_2021H1_top,quality_roe,5,-0.03959128678988063,0.15701258045765457,-0.2521535960652413
W2_growth_crash,momentum_60,17,-0.11724822102516243,0.20492571715063174,-0.5721498631573826
W2_growth_crash,momentum_120_5,17,-0.08772249697789414,0.23697236852589015,-0.37018027681278004
W2_growth_crash,reversal_5,17,0.052082091457572637,0.18709281888643756,0.27837568415271813
W2_growth_crash,low_vol_60,17,0.05056188040607562,0.20054515955029462,0.2521221679917696
W2_growth_crash,amount_ratio_5_20,17,0.0067332138530059645,0.11948583514063485,0.05635156539752993
W2_growth_crash,ma_pos_20,17,-0.06723508018433019,0.20080020083105593,-0.33483572180736365
W2_growth_crash,value_pe,17,0.07523592143127102,0.26620431761318986,0.2826247226410247
W2_growth_crash,value_pb,17,0.09965741501458321,0.26236664179590624,0.3798402660201987
W2_growth_crash,quality_roe,17,-0.045331884689412925,0.12262781538578073,-0.369670490718612
W3_shock_down,momentum_60,19,-0.00969780722659124,0.20764440471311515,-0.04670391788302645
W3_shock_down,momentum_120_5,19,0.037737848806952946,0.18517858018019456,0.20379165219989698
W3_shock_down,reversal_5,19,0.0715209789579557,0.21183855685471598,0.33762021427953043
W3_shock_down,low_vol_60,19,0.09203800507327739,0.2267705778796464,0.4058639614267975
W3_shock_down,amount_ratio_5_20,19,0.00018259457915608868,0.13900662799778057,0.001313567430460971
W3_shock_down,ma_pos_20,19,-0.05004846348571186,0.1927861125718095,-0.25960616570381684
W3_shock_down,value_pe,19,0.07234726932747242,0.24636461050111053,0.29365934165754015
W3_shock_down,value_pb,19,0.1041075684968393,0.2684031630916193,0.387877576767984
W3_shock_down,quality_roe,19,-0.02752230031167899,0.1542833672279986,-0.17838799350941556
W4_924_rebound,momentum_60,6,-0.028760638918877254,0.21245921238714557,-0.13537016632853413
W4_924_rebound,momentum_120_5,6,-0.07387232017742011,0.14205704855385307,-0.5200186891776476
W4_924_rebound,reversal_5,6,0.006004503631213384,0.17572435968474992,0.034170012865521224
W4_924_rebound,low_vol_60,6,0.07521166914948908,0.2806981275308402,0.26794503337477943
W4_924_rebound,amount_ratio_5_20,6,-0.004044446268666367,0.116249076636924,-0.03479121198784418
W4_924_rebound,ma_pos_20,6,-0.015871019502782677,0.15219160499211987,-0.10428314691604995
W4_924_rebound,value_pe,6,0.055352992051934814,0.27608226819111986,0.2004945569833421
W4_924_rebound,value_pb,6,0.042722063150360846,0.15223265865268842,0.28063664872219835
W4_924_rebound,quality_roe,6,0.023622877501925686,0.28381536864759477,0.08323325693915301
W5_slow_bull,momentum_60,8,-0.05442281149103462,0.18159951400882762,-0.2996858873112904
W5_slow_bull,momentum_120_5,8,-0.06517108395896168,0.1778005133819368,-0.36654047122443556
W5_slow_bull,reversal_5,8,-0.10208397625733073,0.20451613232215315,-0.4991487717777118
W5_slow_bull,low_vol_60,8,-0.06350657504877943,0.3064418640587978,-0.2072385744155187
W5_slow_bull,amount_ratio_5_20,8,-0.05816255308793137,0.13076035594340332,-0.4448026519070178
W5_slow_bull,ma_pos_20,8,0.08894999364996617,0.225458888978892,0.3945286613130338
W5_slow_bull,value_pe,8,0.0568572389814013,0.3048722348885179,0.18649530024336977
W5_slow_bull,value_pb,8,0.009897873918307099,0.3122710875451245,0.03169641479176907
W5_slow_bull,quality_roe,8,0.054296550403470825,0.08748846702686008,0.6206138048664298
W6_2026_rally,momentum_60,3,-0.08853063766339044,0.16610517951355733,-0.5329793924708089
W6_2026_rally,momentum_120_5,0,,,
W6_2026_rally,reversal_5,3,0.11750643426951822,0.09526616251532169,1.2334540530129952
W6_2026_rally,low_vol_60,3,0.06998733737311329,0.4138593358114251,0.1691089974710707
W6_2026_rally,amount_ratio_5_20,3,-0.021415537833983398,0.06408700115254075,-0.33416351910444125
W6_2026_rally,ma_pos_20,3,-0.027394350949192913,0.14666688141130158,-0.18677939208627647
W6_2026_rally,value_pe,3,0.07808443414918137,0.41355609674472327,0.18881219443702393
W6_2026_rally,value_pb,3,0.03458481988741735,0.3655769309462164,0.09460339797126166
W6_2026_rally,quality_roe,3,0.04550739512468604,0.10356519479731724,0.4394081932037738
